"","Year","Country...territory.of.asylum.residence","Origin","Population.type","Value"
"2379",1982,"Central African Rep.","Chad","Refugees (incl. refugee-like situations)","7400"
"2380",1982,"Central African Rep.","Chad","Returnees","860"
"2381",1982,"Central African Rep.","Various/Unknown","Refugees (incl. refugee-like situations)","50"
"2382",1982,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","107591"
"2383",1982,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","33404"
"2384",1982,"Chile","Various/Unknown","Refugees (incl. refugee-like situations)","2500"
"2385",1982,"China","Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)","3750"
"2386",1982,"China","Viet Nam","Refugees (incl. refugee-like situations)","268350"
"2387",1982,"Cameroon","Central African Rep.","Refugees (incl. refugee-like situations)","15000"
"2388",1982,"Cameroon","Equatorial Guinea","Refugees (incl. refugee-like situations)","18000"
"2389",1982,"Cameroon","Namibia","Refugees (incl. refugee-like situations)","90"
"2390",1982,"Cameroon","Chad","Refugees (incl. refugee-like situations)","3610"
"2391",1982,"Cameroon","Chad","Returnees","133080"
"2392",1982,"Cameroon","Various/Unknown","Refugees (incl. refugee-like situations)","120"
"2393",1982,"Cameroon","Various/Unknown","Returnees","2810"
"2394",1982,"Dem. Rep. of the Congo","Angola","Refugees (incl. refugee-like situations)","393800"
"2395",1982,"Dem. Rep. of the Congo","Angola","Returnees","13200"
"2396",1982,"Dem. Rep. of the Congo","Burundi","Refugees (incl. refugee-like situations)","10000"
"2397",1982,"Dem. Rep. of the Congo","Rwanda","Refugees (incl. refugee-like situations)","12000"
"2398",1982,"Dem. Rep. of the Congo","Uganda","Refugees (incl. refugee-like situations)","60000"
"2399",1982,"Dem. Rep. of the Congo","Uganda","Returnees","110000"
"2400",1982,"Dem. Rep. of the Congo","Various/Unknown","Refugees (incl. refugee-like situations)","20600"
"2401",1982,"Dem. Rep. of the Congo","Zambia","Refugees (incl. refugee-like situations)","1200"
"2402",1982,"Dem. Rep. of the Congo","Zambia","Returnees","600"
"2403",1982,"Colombia","Various/Unknown","Refugees (incl. refugee-like situations)","150"
"2404",1982,"Costa Rica","Guatemala","Refugees (incl. refugee-like situations)","300"
"2405",1982,"Costa Rica","Nicaragua","Refugees (incl. refugee-like situations)","3000"
"2406",1982,"Costa Rica","El Salvador","Refugees (incl. refugee-like situations)","10370"
"2407",1982,"Costa Rica","El Salvador","Returnees","240"
"2408",1982,"Costa Rica","Various/Unknown","Refugees (incl. refugee-like situations)","2690"
"2409",1982,"Cuba","Various/Unknown","Refugees (incl. refugee-like situations)","2000"
"2410",1982,"Cyprus","Lebanon","Returnees","7240"
"2411",1982,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","100000"
"2412",1982,"Djibouti","Eritrea","Refugees (incl. refugee-like situations)","200"
"2413",1982,"Djibouti","Ethiopia","Refugees (incl. refugee-like situations)","34000"
"2414",1982,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","1800"
"2415",1982,"Dominican Rep.","Haiti","Refugees (incl. refugee-like situations)","5000"
"2416",1982,"Algeria","Western Sahara","Refugees (incl. refugee-like situations)","165000"
"2417",1982,"Algeria","Various/Unknown","Refugees (incl. refugee-like situations)","2000"
"2418",1982,"Ecuador","Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)","70"
"2419",1982,"Ecuador","Cuba","Refugees (incl. refugee-like situations)","50"
"2420",1982,"Ecuador","Various/Unknown","Refugees (incl. refugee-like situations)","560"
"2421",1982,"Egypt","Armenia","Refugees (incl. refugee-like situations)","400"
"2422",1982,"Egypt","Ethiopia","Refugees (incl. refugee-like situations)","4800"
"2423",1982,"Egypt","Various/Unknown","Refugees (incl. refugee-like situations)","300"
"2424",1982,"Spain","Various/Unknown","Refugees (incl. refugee-like situations)","23500"
"2425",1982,"Ethiopia","Sudan","Refugees (incl. refugee-like situations)","5350"
"2426",1982,"Ethiopia","Various/Unknown","Refugees (incl. refugee-like situations)","200"
"2427",1982,"France","Various/Unknown","Refugees (incl. refugee-like situations)","152223"
"2428",1982,"Gabon","Angola","Refugees (incl. refugee-like situations)","640"
"2429",1982,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","143000"
"2430",1982,"Ghana","Various/Unknown","Refugees (incl. refugee-like situations)","100"
"2431",1982,"Greece","Czech Rep.","Refugees (incl. refugee-like situations)","60"
"2432",1982,"Greece","Greece","Refugees (incl. refugee-like situations)","300"
"2433",1982,"Greece","Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)","320"
"2434",1982,"Greece","Iran (Islamic Rep. of)","Returnees","60"
"2435",1982,"Greece","Iraq","Refugees (incl. refugee-like situations)","1960"
"2436",1982,"Greece","Lebanon","Refugees (incl. refugee-like situations)","90"
"2437",1982,"Greece","Poland","Refugees (incl. refugee-like situations)","80"
"2438",1982,"Greece","Romania","Refugees (incl. refugee-like situations)","190"
"2439",1982,"Greece","Turkey","Refugees (incl. refugee-like situations)","300"
"2440",1982,"Greece","Turkey","Returnees","80"
"2441",1982,"Greece","Viet Nam","Refugees (incl. refugee-like situations)","120"
"2442",1982,"Greece","Various/Unknown","Refugees (incl. refugee-like situations)","530"
"2443",1982,"Greece","Various/Unknown","Returnees","90"
"2444",1982,"Guatemala","El Salvador","Refugees (incl. refugee-like situations)","70000"
"2445",1982,"China, Hong Kong SAR","Viet Nam","Refugees (incl. refugee-like situations)","12620"
"2446",1982,"Honduras","Guatemala","Refugees (incl. refugee-like situations)","580"
"2447",1982,"Honduras","Nicaragua","Refugees (incl. refugee-like situations)","15750"
"2448",1982,"Honduras","El Salvador","Refugees (incl. refugee-like situations)","15840"
"2449",1982,"Indonesia","Cambodia","Refugees (incl. refugee-like situations)","2610"
"2450",1982,"Indonesia","Viet Nam","Refugees (incl. refugee-like situations)","10610"
"2451",1982,"India","Afghanistan","Refugees (incl. refugee-like situations)","3430"
"2452",1982,"India","Afghanistan","Returnees","540"
"2453",1982,"India","Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)","1480"
"2454",1982,"India","Iran (Islamic Rep. of)","Returnees","50"
"2455",1982,"India","Various/Unknown","Refugees (incl. refugee-like situations)","100"
"2456",1982,"Iran (Islamic Rep. of)","Afghanistan","Refugees (incl. refugee-like situations)","1600000"
"2457",1982,"Iran (Islamic Rep. of)","Ethiopia","Refugees (incl. refugee-like situations)","60"
"2458",1982,"Iran (Islamic Rep. of)","Iraq","Refugees (incl. refugee-like situations)","100000"
"2459",1982,"Iraq","Eritrea","Refugees (incl. refugee-like situations)","1200"
"2460",1982,"Italy","Afghanistan","Refugees (incl. refugee-like situations)","484"
"2461",1982,"Italy","Angola","Refugees (incl. refugee-like situations)","1"
"2462",1982,"Italy","Albania","Refugees (incl. refugee-like situations)","75"
"2463",1982,"Italy","Argentina","Refugees (incl. refugee-like situations)","39"
"2464",1982,"Italy","Armenia","Refugees (incl. refugee-like situations)","33"
"2465",1982,"Italy","Burundi","Refugees (incl. refugee-like situations)","2"
"2466",1982,"Italy","Bulgaria","Refugees (incl. refugee-like situations)","257"
"2467",1982,"Italy","Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)","1"
"2468",1982,"Italy","Brazil","Refugees (incl. refugee-like situations)","5"
"2469",1982,"Italy","Chile","Refugees (incl. refugee-like situations)","383"
"2470",1982,"Italy","China","Refugees (incl. refugee-like situations)","24"
"2471",1982,"Italy","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","5"
"2472",1982,"Italy","Congo","Refugees (incl. refugee-like situations)","6"
"2473",1982,"Italy","Cuba","Refugees (incl. refugee-like situations)","3"
"2474",1982,"Italy","Czech Rep.","Refugees (incl. refugee-like situations)","434"
"2475",1982,"Italy","Dominican Rep.","Refugees (incl. refugee-like situations)","1"
"2476",1982,"Italy","Algeria","Refugees (incl. refugee-like situations)","3"
"2477",1982,"Italy","Egypt","Refugees (incl. refugee-like situations)","5"
"2478",1982,"Italy","Eritrea","Refugees (incl. refugee-like situations)","185"
"2479",1982,"Italy","Spain","Refugees (incl. refugee-like situations)","2"
"2480",1982,"Italy","Ethiopia","Refugees (incl. refugee-like situations)","455"
"2481",1982,"Italy","Ghana","Refugees (incl. refugee-like situations)","2"
"2482",1982,"Italy","Guinea-Bissau","Refugees (incl. refugee-like situations)","2"
"2483",1982,"Italy","Equatorial Guinea","Refugees (incl. refugee-like situations)","1"
"2484",1982,"Italy","Hungary","Refugees (incl. refugee-like situations)","728"
"2485",1982,"Italy","Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)","210"
"2486",1982,"Italy","Iraq","Refugees (incl. refugee-like situations)","196"
"2487",1982,"Italy","Cambodia","Refugees (incl. refugee-like situations)","178"
"2488",1982,"Italy","Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)","108"
"2489",1982,"Italy","Libya","Refugees (incl. refugee-like situations)","259"
"2490",1982,"Italy","Lithuania","Refugees (incl. refugee-like situations)","1"
"2491",1982,"Italy","Pakistan","Refugees (incl. refugee-like situations)","1"
"2492",1982,"Italy","Poland","Refugees (incl. refugee-like situations)","635"
"2493",1982,"Italy","Romania","Refugees (incl. refugee-like situations)","967"
"2494",1982,"Italy","Russian Federation","Refugees (incl. refugee-like situations)","11569"
"2495",1982,"Italy","Rwanda","Refugees (incl. refugee-like situations)","1"
"2496",1982,"Italy","Sudan","Refugees (incl. refugee-like situations)","2"
"2497",1982,"Italy","Somalia","Refugees (incl. refugee-like situations)","38"
"2498",1982,"Italy","Serbia and Kosovo (S/RES/1244 (1999))","Refugees (incl. refugee-like situations)","177"
"2499",1982,"Italy","Syrian Arab Rep.","Refugees (incl. refugee-like situations)","4"
"2500",1982,"Italy","Tunisia","Refugees (incl. refugee-like situations)","2"
"2501",1982,"Italy","United Rep. of Tanzania","Refugees (incl. refugee-like situations)","1"
"2502",1982,"Italy","Uganda","Refugees (incl. refugee-like situations)","15"
"2503",1982,"Italy","Uruguay","Refugees (incl. refugee-like situations)","25"
"2504",1982,"Italy","Viet Nam","Refugees (incl. refugee-like situations)","2573"
"2505",1982,"Italy","Stateless","Refugees (incl. refugee-like situations)","32"
"2506",1982,"Italy","Various/Unknown","Refugees (incl. refugee-like situations)","2750"
"2507",1982,"Italy","Yemen","Refugees (incl. refugee-like situations)","1"
"2508",1982,"Jordan","Ethiopia","Refugees (incl. refugee-like situations)","100"
"2509",1982,"Japan","China","Refugees (incl. refugee-like situations)","80"
"2510",1982,"Japan","Cambodia","Refugees (incl. refugee-like situations)","370"
"2511",1982,"Japan","Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)","610"
"2512",1982,"Japan","Viet Nam","Refugees (incl. refugee-like situations)","3230"
"2513",1982,"Japan","Various/Unknown","Refugees (incl. refugee-like situations)","100"
"2514",1982,"Kenya","Ethiopia","Refugees (incl. refugee-like situations)","1580"
"2515",1982,"Kenya","Mozambique","Refugees (incl. refugee-like situations)","200"
"2516",1982,"Kenya","Rwanda","Refugees (incl. refugee-like situations)","1360"
"2517",1982,"Kenya","Somalia","Refugees (incl. refugee-like situations)","80"
"2518",1982,"Kenya","Uganda","Refugees (incl. refugee-like situations)","1350"
"2519",1982,"Kenya","Various/Unknown","Refugees (incl. refugee-like situations)","60"
"2520",1982,"Kenya","Various/Unknown","Returnees","50"
"2521",1982,"Kenya","South Africa","Refugees (incl. refugee-like situations)","130"
"2522",1982,"Rep. of Korea","Viet Nam","Refugees (incl. refugee-like situations)","70"
"2523",1982,"Kuwait","Ethiopia","Refugees (incl. refugee-like situations)","2220"
"2524",1982,"Lao People's Dem. Rep.","Cambodia","Refugees (incl. refugee-like situations)","3500"
"2525",1982,"Lebanon","Armenia","Refugees (incl. refugee-like situations)","300"
"2526",1982,"Lebanon","Ethiopia","Refugees (incl. refugee-like situations)","1000"
"2527",1982,"Lebanon","Iraq","Refugees (incl. refugee-like situations)","1000"
"2528",1982,"Lebanon","Syrian Arab Rep.","Refugees (incl. refugee-like situations)","500"
"2529",1982,"Lebanon","Syrian Arab Rep.","Returnees","6000"
"2530",1982,"Lesotho","South Africa","Refugees (incl. refugee-like situations)","11500"
"2531",1982,"Lesotho","South Africa","Returnees","80"
"2532",1982,"China, Macao SAR","Viet Nam","Refugees (incl. refugee-like situations)","970"
"2533",1982,"Morocco","Spain","Refugees (incl. refugee-like situations)","50"
"2534",1982,"Morocco","Poland","Refugees (incl. refugee-like situations)","60"
"2535",1982,"Morocco","Various/Unknown","Refugees (incl. refugee-like situations)","400"
"2536",1982,"Mexico","Argentina","Refugees (incl. refugee-like situations)","980"
"2537",1982,"Mexico","Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)","120"
"2538",1982,"Mexico","Bolivia (Plurinational State of)","Returnees","230"
"2539",1982,"Mexico","Chile","Refugees (incl. refugee-like situations)","1000"
"2540",1982,"Mexico","Colombia","Refugees (incl. refugee-like situations)","100"
"2541",1982,"Mexico","Guatemala","Refugees (incl. refugee-like situations)","35050"
"2542",1982,"Mexico","El Salvador","Refugees (incl. refugee-like situations)","120000"
"2543",1982,"Mexico","Uruguay","Refugees (incl. refugee-like situations)","500"
"2544",1982,"Mexico","Various/Unknown","Refugees (incl. refugee-like situations)","10000"
"2545",1982,"Mozambique","South Africa","Refugees (incl. refugee-like situations)","130"
"2546",1982,"Malaysia","Cambodia","Refugees (incl. refugee-like situations)","800"
"2547",1982,"Malaysia","Philippines","Refugees (incl. refugee-like situations)","90000"
"2548",1982,"Malaysia","Viet Nam","Refugees (incl. refugee-like situations)","8440"
"2549",1982,"Nigeria","Ghana","Refugees (incl. refugee-like situations)","110"
"2550",1982,"Nigeria","Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)","80"
"2551",1982,"Nigeria","Namibia","Refugees (incl. refugee-like situations)","50"
"2552",1982,"Nigeria","Chad","Refugees (incl. refugee-like situations)","4000"
"2553",1982,"Nigeria","Various/Unknown","Refugees (incl. refugee-like situations)","1000"
"2554",1982,"Nicaragua","Guatemala","Refugees (incl. refugee-like situations)","560"
"2555",1982,"Nicaragua","El Salvador","Refugees (incl. refugee-like situations)","22740"
"2556",1982,"Nicaragua","Various/Unknown","Refugees (incl. refugee-like situations)","500"
"2557",1982,"Netherlands","Various/Unknown","Refugees (incl. refugee-like situations)","14000"
"2558",1982,"Norway","Various/Unknown","Refugees (incl. refugee-like situations)","6000"
"2559",1982,"Nepal","Tibetan","Refugees (incl. refugee-like situations)","9800"
"2560",1982,"New Zealand","Various/Unknown","Refugees (incl. refugee-like situations)","10600"
"2561",1982,"Pakistan","Afghanistan","Refugees (incl. refugee-like situations)","2877480"
"2562",1982,"Panama","Nicaragua","Refugees (incl. refugee-like situations)","220"
"2563",1982,"Panama","El Salvador","Refugees (incl. refugee-like situations)","1450"
"2564",1982,"Panama","Various/Unknown","Refugees (incl. refugee-like situations)","150"
"2565",1982,"Peru","Bolivia (Plurinational State of)","Returnees","190"
"2566",1982,"Peru","Cuba","Refugees (incl. refugee-like situations)","390"
"2567",1982,"Peru","Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)","50"
"2568",1982,"Peru","Various/Unknown","Refugees (incl. refugee-like situations)","760"
"2569",1982,"Philippines","Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)","170"
"2570",1982,"Philippines","Cambodia","Refugees (incl. refugee-like situations)","6030"
"2571",1982,"Philippines","Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)","60"
"2572",1982,"Philippines","Viet Nam","Refugees (incl. refugee-like situations)","8980"
"2573",1982,"Papua New Guinea","Indonesia","Refugees (incl. refugee-like situations)","2200"
"2574",1982,"Portugal","Various/Unknown","Refugees (incl. refugee-like situations)","7600"
"2575",1982,"Paraguay","Various/Unknown","Refugees (incl. refugee-like situations)","50"
"2576",1982,"Qatar","Ethiopia","Refugees (incl. refugee-like situations)","200"
"2577",1982,"Romania","Chile","Refugees (incl. refugee-like situations)","1000"
"2578",1982,"Rwanda","Burundi","Refugees (incl. refugee-like situations)","18000"
"2579",1982,"Rwanda","Uganda","Refugees (incl. refugee-like situations)","38000"
"2580",1982,"Rwanda","Various/Unknown","Refugees (incl. refugee-like situations)","6000"
"2581",1982,"Saudi Arabia","Afghanistan","Refugees (incl. refugee-like situations)","2000"
"2582",1982,"Saudi Arabia","Ethiopia","Refugees (incl. refugee-like situations)","57000"
"2583",1982,"Sudan","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","5000"
"2584",1982,"Sudan","Ethiopia","Refugees (incl. refugee-like situations)","460000"
"2585",1982,"Sudan","Chad","Refugees (incl. refugee-like situations)","2000"
"2586",1982,"Sudan","Chad","Returnees","20000"
"2587",1982,"Sudan","Uganda","Refugees (incl. refugee-like situations)","170000"
"2588",1982,"Sudan","Uganda","Returnees","16000"
"2589",1982,"Senegal","Guinea","Refugees (incl. refugee-like situations)","50"
"2590",1982,"Senegal","Guinea-Bissau","Refugees (incl. refugee-like situations)","5000"
"2591",1982,"Senegal","Various/Unknown","Refugees (incl. refugee-like situations)","200"
"2592",1982,"Singapore","Viet Nam","Refugees (incl. refugee-like situations)","480"
"2593",1982,"Sierra Leone","Namibia","Refugees (incl. refugee-like situations)","120"
"2594",1982,"Somalia","Ethiopia","Refugees (incl. refugee-like situations)","700000"
"2595",1982,"Serbia and Kosovo (S/RES/1244 (1999))","Albania","Refugees (incl. refugee-like situations)","1570"
"2596",1982,"Serbia and Kosovo (S/RES/1244 (1999))","Chile","Refugees (incl. refugee-like situations)","100"
"2597",1982,"Serbia and Kosovo (S/RES/1244 (1999))","Various/Unknown","Refugees (incl. refugee-like situations)","360"
"2598",1982,"Sweden","Various/Unknown","Refugees (incl. refugee-like situations)","20000"
"2599",1982,"Swaziland","Various/Unknown","Refugees (incl. refugee-like situations)","350"
"2600",1982,"Swaziland","South Africa","Refugees (incl. refugee-like situations)","7000"
"2601",1982,"Syrian Arab Rep.","Afghanistan","Refugees (incl. refugee-like situations)","3000"
"2602",1982,"Syrian Arab Rep.","Ethiopia","Refugees (incl. refugee-like situations)","600"
"2603",1982,"Syrian Arab Rep.","Iraq","Refugees (incl. refugee-like situations)","610"
"2604",1982,"Syrian Arab Rep.","Lebanon","Refugees (incl. refugee-like situations)","12500"
"2605",1982,"Syrian Arab Rep.","Lebanon","Returnees","2500"
"2606",1982,"Syrian Arab Rep.","Palestinian","Refugees (incl. refugee-like situations)","9800"
"2607",1982,"Syrian Arab Rep.","Various/Unknown","Refugees (incl. refugee-like situations)","60"
"2608",1982,"Togo","Ghana","Refugees (incl. refugee-like situations)","200"
"2609",1982,"Thailand","Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)","70"
"2610",1982,"Thailand","Cambodia","Refugees (incl. refugee-like situations)","83950"
"2611",1982,"Thailand","Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)","76060"
"2612",1982,"Thailand","Lao People's Dem. Rep.","Returnees","1070"
"2613",1982,"Thailand","Viet Nam","Refugees (incl. refugee-like situations)","8900"
"2614",1982,"Turkey","Afghanistan","Refugees (incl. refugee-like situations)","320"
"2615",1982,"Turkey","Various/Unknown","Refugees (incl. refugee-like situations)","1350"
"2616",1982,"United Rep. of Tanzania","Burundi","Refugees (incl. refugee-like situations)","148270"
"2617",1982,"United Rep. of Tanzania","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","9650"
"2618",1982,"United Rep. of Tanzania","Malawi","Refugees (incl. refugee-like situations)","240"
"2619",1982,"United Rep. of Tanzania","Various/Unknown","Refugees (incl. refugee-like situations)","290"
"2620",1982,"United Rep. of Tanzania","South Africa","Refugees (incl. refugee-like situations)","510"
"2621",1982,"Uganda","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","32000"
"2622",1982,"Uganda","Rwanda","Refugees (incl. refugee-like situations)","80000"
"2623",1982,"Uganda","Various/Unknown","Refugees (incl. refugee-like situations)","1000"
"2624",1982,"Uruguay","Various/Unknown","Refugees (incl. refugee-like situations)","60"
"2625",1982,"United States of America","Various/Unknown","Refugees (incl. refugee-like situations)","620257"
"2626",1982,"Venezuela (Bolivarian Republic of)","Bolivia (Plurinational State of)","Refugees (incl. refugee-like situations)","80"
"2627",1982,"Venezuela (Bolivarian Republic of)","Bolivia (Plurinational State of)","Returnees","50"
"2628",1982,"Venezuela (Bolivarian Republic of)","Cuba","Refugees (incl. refugee-like situations)","210"
"2629",1982,"Venezuela (Bolivarian Republic of)","Various/Unknown","Refugees (incl. refugee-like situations)","560"
"2630",1982,"Viet Nam","Cambodia","Refugees (incl. refugee-like situations)","25960"
"2631",1982,"Yemen","Ethiopia","Refugees (incl. refugee-like situations)","1400"
"2632",1982,"Zambia","Angola","Refugees (incl. refugee-like situations)","71450"
"2633",1982,"Zambia","Angola","Returnees","170"
"2634",1982,"Zambia","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","8990"
"2635",1982,"Zambia","Namibia","Refugees (incl. refugee-like situations)","4900"
"2636",1982,"Zambia","Various/Unknown","Refugees (incl. refugee-like situations)","960"
"2637",1982,"Zambia","Various/Unknown","Returnees","250"
"2638",1982,"Zambia","South Africa","Refugees (incl. refugee-like situations)","2810"
"2639",1982,"Zimbabwe","Mozambique","Refugees (incl. refugee-like situations)","20000"
"2640",1982,"Zimbabwe","Various/Unknown","Refugees (incl. refugee-like situations)","60"
"2641",1982,"Zimbabwe","South Africa","Refugees (incl. refugee-like situations)","140"
"2642",1983,"Angola","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","20060"
"2643",1983,"Angola","Dem. Rep. of the Congo","Returnees","2600"
"2644",1983,"Angola","Namibia","Refugees (incl. refugee-like situations)","70010"
"2645",1983,"Angola","South Africa","Refugees (incl. refugee-like situations)","6210"
"2646",1983,"United Arab Emirates","Afghanistan","Refugees (incl. refugee-like situations)","1500"
"2647",1983,"United Arab Emirates","Ethiopia","Refugees (incl. refugee-like situations)","1500"
"2648",1983,"United Arab Emirates","Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)","500"
"2649",1983,"United Arab Emirates","United Rep. of Tanzania","Refugees (incl. refugee-like situations)","500"
"2650",1983,"United Arab Emirates","Uganda","Refugees (incl. refugee-like situations)","90"
"2651",1983,"Argentina","Various/Unknown","Refugees (incl. refugee-like situations)","11500"
"2652",1983,"Australia","Various/Unknown","Refugees (incl. refugee-like situations)","317000"
"2653",1983,"Austria","Various/Unknown","Refugees (incl. refugee-like situations)","37298"
"2654",1983,"Burundi","Dem. Rep. of the Congo","Refugees (incl. refugee-like situations)","19650"
"2655",1983,"Burundi","Dem. Rep. of the Congo","Returnees","2060"
"2656",1983,"Burundi","Rwanda","Refugees (incl. refugee-like situations)","227870"
"2657",1983,"Burundi","Uganda","Refugees (incl. refugee-like situations)","6250"
"2658",1983,"Burundi","Uganda","Returnees","130"
"2659",1983,"Burundi","Various/Unknown","Refugees (incl. refugee-like situations)","50"
"2660",1983,"Belgium","Various/Unknown","Refugees (incl. refugee-like situations)","35000"
"2661",1983,"Benin","Various/Unknown","Refugees (incl. refugee-like situations)","50"
"2662",1983,"Burkina Faso","Various/Unknown","Refugees (incl. refugee-like situations)","70"
"2663",1983,"Belize","El Salvador","Refugees (incl. refugee-like situations)","7000"
"2664",1983,"Brazil","Various/Unknown","Refugees (incl. refugee-like situations)","5400"
"2665",1983,"Botswana","Various/Unknown","Refugees (incl. refugee-like situations)","400"
"2666",1983,"Botswana","Various/Unknown","Returnees","60"
"2667",1983,"Botswana","South Africa","Refugees (incl. refugee-like situations)","1000"
"2668",1983,"Botswana","Zimbabwe","Refugees (incl. refugee-like situations)","3200"
"2669",1983,"Central African Rep.","Chad","Refugees (incl. refugee-like situations)","6790"
"2670",1983,"Canada","Various/Unknown","Refugees (incl. refugee-like situations)","120947"
"2671",1983,"Switzerland","Various/Unknown","Refugees (incl. refugee-like situations)","32312"
"2672",1983,"Chile","Various/Unknown","Refugees (incl. refugee-like situations)","2500"
"2673",1983,"China","Lao People's Dem. Rep.","Refugees (incl. refugee-like situations)","3910"
"2674",1983,"China","Viet Nam","Refugees (incl. refugee-like situations)","272720"
"2675",1983,"C̫te d'Ivoire","Ghana","Refugees (incl. refugee-like situations)","150"
"2676",1983,"C̫te d'Ivoire","Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)","60"
"2677",1983,"C̫te d'Ivoire","Viet Nam","Refugees (incl. refugee-like situations)","120"
"2678",1983,"C̫te d'Ivoire","Various/Unknown","Refugees (incl. refugee-like situations)","120"
"2679",1983,"Cameroon","Chad","Refugees (incl. refugee-like situations)","3950"
"2680",1983,"Cameroon","Chad","Returnees","60"
"2681",1983,"Cameroon","Various/Unknown","Refugees (incl. refugee-like situations)","240"
"2682",1983,"Dem. Rep. of the Congo","Angola","Refugees (incl. refugee-like situations)","215000"
"2683",1983,"Dem. Rep. of the Congo","Burundi","Refugees (incl. refugee-like situations)","10000"
"2684",1983,"Dem. Rep. of the Congo","Rwanda","Refugees (incl. refugee-like situations)","12000"
"2685",1983,"Dem. Rep. of the Congo","Uganda","Refugees (incl. refugee-like situations)","65000"
"2686",1983,"Dem. Rep. of the Congo","Uganda","Returnees","3110"
"2687",1983,"Dem. Rep. of the Congo","Various/Unknown","Refugees (incl. refugee-like situations)","300"
"2688",1983,"Dem. Rep. of the Congo","Zambia","Refugees (incl. refugee-like situations)","1200"
"2689",1983,"Congo","Chad","Refugees (incl. refugee-like situations)","1000"
"2690",1983,"Colombia","Nicaragua","Refugees (incl. refugee-like situations)","60"
"2691",1983,"Colombia","Various/Unknown","Refugees (incl. refugee-like situations)","150"
"2692",1983,"Costa Rica","Guatemala","Refugees (incl. refugee-like situations)","300"
"2693",1983,"Costa Rica","Nicaragua","Refugees (incl. refugee-like situations)","3910"
"2694",1983,"Costa Rica","El Salvador","Refugees (incl. refugee-like situations)","10000"
"2695",1983,"Costa Rica","Various/Unknown","Refugees (incl. refugee-like situations)","2700"
"2696",1983,"Cuba","Various/Unknown","Refugees (incl. refugee-like situations)","2000"
"2697",1983,"Germany","Various/Unknown","Refugees (incl. refugee-like situations)","115000"
"2698",1983,"Djibouti","Ethiopia","Refugees (incl. refugee-like situations)","29170"
"2699",1983,"Djibouti","Ethiopia","Returnees","5140"
"2700",1983,"Denmark","Various/Unknown","Refugees (incl. refugee-like situations)","3600"
"2701",1983,"Dominican Rep.","Haiti","Refugees (incl. refugee-like situations)","5000"
"2702",1983,"Algeria","Western Sahara","Refugees (incl. refugee-like situations)","165000"
"2703",1983,"Algeria","Spain","Refugees (incl. refugee-like situations)","300"
"2704",1983,"Algeria","Various/Unknown","Refugees (incl. refugee-like situations)","1700"
"2705",1983,"Ecuador","Cuba","Refugees (incl. refugee-like situations)","80"
"2706",1983,"Ecuador","Various/Unknown","Refugees (incl. refugee-like situations)","690"
"2707",1983,"Egypt","Various/Unknown","Refugees (incl. refugee-like situations)","35000"
"2708",1983,"Spain","Various/Unknown","Refugees (incl. refugee-like situations)","23700"
"2709",1983,"Ethiopia","Sudan","Refugees (incl. refugee-like situations)","31000"
"2710",1983,"Ethiopia","Various/Unknown","Refugees (incl. refugee-like situations)","370"
"2711",1983,"France","Various/Unknown","Refugees (incl. refugee-like situations)","164113"
"2712",1983,"United Kingdom","Various/Unknown","Refugees (incl. refugee-like situations)","140000"
"2713",1983,"Ghana","Various/Unknown","Refugees (incl. refugee-like situations)","90"
"2714",1983,"Greece","Ethiopia","Refugees (incl. refugee-like situations)","70"
"2715",1983,"Greece","Greece","Refugees (incl. refugee-like situations)","280"
"2716",1983,"Greece","Iran (Islamic Rep. of)","Refugees (incl. refugee-like situations)","290"
"2717",1983,"Greece","Iraq","Refugees (incl. refugee-like situations)","1780"
"2718",1983,"Greece","Lebanon","Refugees (incl. refugee-like situations)","90"
